Entry	Gene Names (primary)	Gene Names
A6NMZ7	COL6A6	COL6A6
A8TX70	COL6A5	COL6A5 COL29A1 VWA4
O00602	FCN1	FCN1 FCNM
O75636	FCN3	FCN3 FCNH HAKA1
P02452	COL1A1	COL1A1
P02458	COL2A1	COL2A1
P02461	COL3A1	COL3A1
P02462	COL4A1	COL4A1
P02745	C1QA	C1QA
P02746	C1QB	C1QB
P02747	C1QC	C1QC C1QG
P05997	COL5A2	COL5A2
P08123	COL1A2	COL1A2
P08572	COL4A2	COL4A2
P11226	MBL2	MBL2 COLEC1 MBL
P12107	COL11A1	COL11A1 COLL6
P12109	COL6A1	COL6A1
P12110	COL6A2	COL6A2
P12111	COL6A3	COL6A3
P13942	COL11A2	COL11A2
P20849	COL9A1	COL9A1
P20908	COL5A1	COL5A1
P21757	MSR1	MSR1 SCARA1
P25067	COL8A2	COL8A2
P25940	COL5A3	COL5A3
P27658	COL8A1	COL8A1 C3orf7
P29400	COL4A5	COL4A5
P35247	SFTPD	SFTPD COLEC7 PSPD SFTP4
P39059	COL15A1	COL15A1
P39060	COL18A1	COL18A1
P53420	COL4A4	COL4A4
Q01955	COL4A3	COL4A3
Q02388	COL7A1	COL7A1
Q03692	COL10A1	COL10A1
Q05707	COL14A1	COL14A1 UND
Q07092	COL16A1	COL16A1 FP1572
Q14031	COL4A6	COL4A6
Q14050	COL9A3	COL9A3
Q14055	COL9A2	COL9A2
Q14993	COL19A1	COL19A1
Q15485	FCN2	FCN2 FCNL
Q15848	ADIPOQ	ADIPOQ ACDC ACRP30 APM1 GBP28
Q17RW2	COL24A1	COL24A1
Q2UY09	COL28A1	COL28A1 COL28
Q5KU26	COLEC12	COLEC12 CLP1 NSR2 SCARA4 SRCL
Q5TAT6	COL13A1	COL13A1
Q6AZY7	SCARA3	SCARA3 CSR
Q6UXH8	CCBE1	CCBE1 KIAA1983 UNQ1921/PRO4395
Q6ZMI3	GLDN	GLDN COLM UNQ9339/PRO34011
Q86Z23	C1QL4	C1QL4 CTRP11
Q8IWL1	SFTPA2	SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B
Q8IWL2	SFTPA1	SFTPA1 COLEC4 PSAP SFTP1 SFTPA SFTPA1B
Q8IZC6	COL27A1	COL27A1 KIAA1870
Q8NFW1	COL22A1	COL22A1
Q92838	EDA	EDA ED1 EDA2
Q96A83	COL26A1	COL26A1 EMID2 EMU2
Q96CG8	CTHRC1	CTHRC1 UNQ762/PRO1550
Q96P44	COL21A1	COL21A1 COL1AL FP633
Q99715	COL12A1	COL12A1 COL12A1L
Q9BWP8	COLEC11	COLEC11 UNQ596/PRO1182
Q9BXI9	C1QTNF6	C1QTNF6 CTRP6 UNQ581/PRO1151
Q9BXJ0	C1QTNF5	C1QTNF5 CTRP5 UNQ303/PRO344
Q9BXJ1	C1QTNF1	C1QTNF1 CTRP1 UNQ310/PRO353
Q9BXJ4	C1QTNF3	C1QTNF3 CTRP3 UNQ753/PRO1484
Q9BXJ5	C1QTNF2	C1QTNF2 CTRP2 UNQ6349/PRO21054
Q9BXS0	COL25A1	COL25A1
Q9BXX0	EMILIN2	EMILIN2
Q9C0J8	WDR33	WDR33 WDC146
Q9P218	COL20A1	COL20A1 KIAA1510
Q9UEW3	MARCO	MARCO SCARA2
Q9UMD9	COL17A1	COL17A1 BP180 BPAG2
Q9Y215	COLQ	COLQ
Q9Y6C2	EMILIN1	EMILIN1 EMI
Q9Y6Z7	COLEC10	COLEC10 CLL1 UNQ366/PRO702
A6NHN0	OTOL1	OTOL1
B2RNN3	C1QTNF9B	C1QTNF9B
O75973	C1QL1	C1QL1 C1QRF CRF CTRP14
P0C862	C1QTNF9	C1QTNF9 C1QTNF9A UNQ6503/PRO21380
P60827	C1QTNF8	C1QTNF8 UNQ5829/PRO19648
Q5VWW1	C1QL3	C1QL3 CTRP13
Q86Y22	COL23A1	COL23A1
Q96A84	EMID1	EMID1 EMU1
Q7Z5L3	C1QL2	C1QL2 CTRP10
Q9BXJ2	C1QTNF7	C1QTNF7 CTRP7
